GAMECODE,CODETEAM,joueur_1,TIME,DELTA_SCORE,OFF,DEF
26,JER,P013279,0 days 00:13:15,3,26,23
26,JER,P013281,0 days 00:11:57,4,26,22
26,HAM,P013309,0 days 00:26:36,-2,55,57
26,HAM,P011256,0 days 00:26:09,-10,52,62
26,HAM,P013308,0 days 00:24:38,-21,33,54
26,HAM,P013312,0 days 00:24:33,-8,54,62
26,HAM,P003242,0 days 00:23:58,-12,43,55
26,HAM,P012695,0 days 00:22:55,-6,49,55
26,HAM,P006006,0 days 00:17:47,-14,25,39
26,HAM,P006420,0 days 00:15:27,-7,20,27
26,HAM,P010070,0 days 00:11:06,4,21,17
26,HAM,P013310,0 days 00:06:51,1,18,17
27,CLU,P002820,0 days 00:24:34,-9,54,63
27,CLU,P004862,0 days 00:23:23,-8,49,57
27,CLU,P006618,0 days 00:23:21,2,62,60
27,CLU,P013302,0 days 00:23:12,-8,51,59
27,CLU,P012698,0 days 00:22:40,-8,57,65
27,CLU,P005714,0 days 00:18:58,0,43,43
27,CLU,P011801,0 days 00:18:28,-2,48,50
27,CLU,P013304,0 days 00:16:30,-11,34,45
27,CLU,P011797,0 days 00:15:01,5,47,42
27,CLU,P010651,0 days 00:13:53,-6,35,41
27,PAM,P011982,0 days 00:25:42,11,66,55
27,PAM,P007527,0 days 00:23:15,-5,52,57
27,PAM,P010393,0 days 00:23:08,-4,53,57
27,PAM,P010042,0 days 00:22:53,0,49,49
27,PAM,P005356,0 days 00:21:50,28,79,51
27,PAM,P004863,0 days 00:20:26,7,62,55
27,PAM,P010444,0 days 00:14:27,5,40,35
27,PAM,P011980,0 days 00:14:21,8,43,35
27,PAM,P009864,0 days 00:11:39,5,31,26
27,PAM,P012738,0 days 00:09:58,-5,22,27
27,PAM,P006643,0 days 00:08:01,-4,21,25
27,PAM,P010750,0 days 00:04:20,-1,7,8
28,VNC,P013305,0 days 00:34:37,-17,60,77
28,VNC,P005404,0 days 00:32:52,-9,57,66
28,VNC,P012796,0 days 00:27:33,3,51,48
