RANK,CODETEAM,PLAYER,NUMBER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
46,PRS,"HAYES, KEVARRIUS",13,P010390,20,402.3,144.41,7.2,82.3
47,ASV,"DE COLO, NANDO",12,P002100,19,384.81,138.66,7.068,82.0
48,IST,"LARKIN, SHANE",0,P007200,12,305.05,122.82,7.032,81.9
49,MCO,"LOYD, JORDAN",8,P009754,19,441.47,146.62,6.978,81.8
50,VIR,"SHENGELIA, TORNIKE",21,P001133,16,461.9,148.02,6.887,81.6
51,PAR,"BROWN, STERLING",12,P012720,21,512.0,155.1,6.854,81.5
52,MCO,"PAPAGIANNIS, GEORGIOS",9,P005844,21,358.75,129.12,6.817,81.4
53,PAN,"YURTSEVEN, OMER",77,P005353,20,262.78,109.84,6.776,81.3
54,BER,"WILLIAMS, TREVION",50,P012604,16,346.72,125.15,6.721,81.2
55,VIR,"DIOUF, MOUHAMET",35,P013374,21,338.07,123.71,6.728,81.2
56,VIR,"ZIZIC, ANTE",41,P004554,17,304.33,114.96,6.59,80.9
57,BER,"MC CORMACK, DAVID",33,P013386,10,214.95,96.71,6.596,80.9
58,PRS,"JANTUNEN, MIKAEL",20,P012613,20,505.67,147.22,6.547,80.8
59,OLY,"PETERS, ALEC",25,P008829,21,334.4,118.28,6.468,80.6
60,PAN,"SLOUKAS, KOSTAS",10,P001926,20,408.6,129.8,6.421,80.5
61,PRS,"WARD, TYSON",3,P012610,20,527.26,146.41,6.376,80.4
62,PRS,"HIFI, NADIR",2,P012640,20,375.7,123.56,6.375,80.4
63,TEL,"SORKIN, ROMAN",9,P011219,20,433.94,131.06,6.292,80.2
64,TEL,"BLATT, TAMIR",45,P011193,15,374.1,121.64,6.289,80.2
65,BER,"WETZELL, YANNI",5,P011934,17,359.56,119.69,6.312,80.2
66,PAN,"BROWN, LORENZO",2,P009622,19,322.7,112.91,6.285,80.2
67,ASV,"LAUVERGNE, JOFFREY",7,P004194,12,256.44,100.67,6.287,80.2
68,PAN,"GRANT, JERIAN",22,P011204,21,561.83,147.85,6.238,80.1
69,OLY,"FALL, MOUSTAPHA",10,P008811,18,303.7,109.32,6.273,80.1
70,MCO,"MOTIEJUNAS, DONATAS",20,PLCZ,21,348.65,116.11,6.218,80.0
71,BAS,"SEDEKERSKIS, TADAS",8,P007230,15,408.75,124.4,6.153,79.9
72,MIL,"CAUSEUR, FABIEN",5,P001392,17,366.26,117.51,6.14,79.8
73,ZAL,"SIRVYDIS, DEIVIDAS",91,P007029,21,348.62,113.98,6.105,79.8
74,RED,"MILLER-MCINTYRE, CODI",0,P009048,21,514.66,138.38,6.1,79.7
75,MUN,"VOIGTMANN, JOHANNES",7,P007201,21,497.48,135.47,6.074,79.7
76,RED,"MITROVIC, LUKA",9,P002553,20,268.68,99.52,6.072,79.7
77,RED,"DOS SANTOS, YAGO",99,P012044,21,357.9,114.09,6.031,79.6
78,TEL,"RANDOLPH, LEVI",20,P013382,21,593.9,146.64,6.017,79.5
79,PAR,"DAVIES, BRANDON",0,P007870,20,344.62,110.66,5.961,79.4
